observation_date,M09028USM474NNBR
1930-03-01,2036
1930-04-01,2011
1930-05-01,1991
1930-06-01,1901
1930-07-01,1913
1930-08-01,1629
1930-09-01,1768
1930-10-01,1941
1930-11-01,2004
1930-12-01,2393
1931-01-01,3062
1931-02-01,2277
1931-03-01,2315
1931-04-01,2152
1931-05-01,2096
1931-06-01,2033
1931-07-01,1931
1931-08-01,1765
1931-09-01,2017
1931-10-01,2348
1931-11-01,1997
1931-12-01,2388
1932-01-01,3214
1932-02-01,2577
1932-03-01,2593
1932-04-01,2548
1932-05-01,2448
1932-06-01,2489
1932-07-01,2547
1932-08-01,2314
1932-09-01,1854
1932-10-01,2109
1932-11-01,1926
1932-12-01,2154
1933-01-01,2639
