observation_date,M11005USM293NNBR
1903-12-01,66.84
1904-01-01,67.85
1904-02-01,65.83
1904-03-01,65.75
1904-04-01,67.44
1904-05-01,65.74
1904-06-01,66.03
1904-07-01,69.08
1904-08-01,71.42
1904-09-01,74.64
1904-10-01,78.91
1904-11-01,82.25
1904-12-01,83.53
1905-01-01,86.05
1905-02-01,90.39
1905-03-01,93.01
1905-04-01,91.58
1905-05-01,87.13
1905-06-01,88.72
1905-07-01,91.53
1905-08-01,95.46
1905-09-01,96.30
1905-10-01,97.38
1905-11-01,96.18
1905-12-01,96.94
1906-01-01,99.84
1906-02-01,99.42
1906-03-01,97.61
1906-04-01,96.25
1906-05-01,93.78
1906-06-01,95.57
1906-07-01,93.78
1906-08-01,100.85
1906-09-01,103.95
1906-10-01,102.91
1906-11-01,102.46
1906-12-01,101.57
1907-01-01,98.16
1907-02-01,94.50
1907-03-01,85.02
1907-04-01,85.58
1907-05-01,82.88
1907-06-01,80.67
1907-07-01,83.71
1907-08-01,78.97
1907-09-01,79.01
1907-10-01,72.08
1907-11-01,67.87
1907-12-01,71.03
1908-01-01,73.71
1908-02-01,70.93
1908-03-01,72.98
1908-04-01,76.37
1908-05-01,80.74
1908-06-01,80.93
1908-07-01,83.18
1908-08-01,85.95
1908-09-01,85.40
1908-10-01,86.41
1908-11-01,91.76
1908-12-01,94.28
1909-01-01,95.52
1909-02-01,93.55
1909-03-01,94.98
1909-04-01,98.63
1909-05-01,100.81
1909-06-01,102.21
1909-07-01,103.88
1909-08-01,105.83
1909-09-01,105.29
1909-10-01,105.01
1909-11-01,103.10
1909-12-01,104.45
1910-01-01,102.59
1910-02-01,99.40
1910-03-01,101.71
1910-04-01,99.66
1910-05-01,98.32
1910-06-01,93.56
1910-07-01,88.91
1910-08-01,90.79
1910-09-01,91.21
1910-10-01,95.00
1910-11-01,94.10
1910-12-01,91.83
1911-01-01,94.25
1911-02-01,95.43
1911-03-01,94.45
1911-04-01,94.34
1911-05-01,95.95
1911-06-01,98.23
1911-07-01,98.17
1911-08-01,93.71
1911-09-01,89.02
1911-10-01,90.37
1911-11-01,93.80
1911-12-01,93.37
1912-01-01,93.20
1912-02-01,92.31
1912-03-01,94.17
1912-04-01,96.46
1912-05-01,95.70
1912-06-01,95.25
1912-07-01,95.28
1912-08-01,97.65
1912-09-01,97.62
1912-10-01,97.10
1912-11-01,96.42
1912-12-01,93.78
1913-01-01,93.22
1913-02-01,90.75
1913-03-01,88.94
1913-04-01,88.76
1913-05-01,86.25
1913-06-01,82.31
1913-07-01,83.35
1913-08-01,84.64
1913-09-01,84.96
1913-10-01,82.94
1913-11-01,81.08
1913-12-01,80.88
1914-01-01,83.38
1914-02-01,83.99
1914-03-01,81.68
1914-04-01,79.77
1914-05-01,80.28
1914-06-01,79.85
1914-07-01,75.72
1914-08-01,
1914-09-01,
1914-10-01,
1914-11-01,
1914-12-01,72.13
1915-01-01,73.23
1915-02-01,71.96
1915-03-01,73.25
1915-04-01,77.17
1915-05-01,75.09
1915-06-01,74.54
1915-07-01,72.84
1915-08-01,75.04
1915-09-01,77.00
1915-10-01,81.16
1915-11-01,84.70
1915-12-01,84.05
1916-01-01,82.63
1916-02-01,80.75
1916-03-01,80.29
1916-04-01,79.74
1916-05-01,81.95
1916-06-01,83.27
1916-07-01,82.38
1916-08-01,81.77
1916-09-01,83.03
1916-10-01,85.17
1916-11-01,84.53
1916-12-01,82.91
1917-01-01,81.32
1917-02-01,77.04
1917-03-01,77.99
1917-04-01,77.14
1917-05-01,74.00
1917-06-01,74.96
1917-07-01,74.03
1917-08-01,72.96
1917-09-01,69.88
1917-10-01,66.85
1917-11-01,61.80
1917-12-01,59.74
1918-01-01,62.37
1918-02-01,63.12
1918-03-01,62.63
1918-04-01,61.39
1918-05-01,63.37
1918-06-01,63.74
1918-07-01,63.96
1918-08-01,65.51
1918-09-01,65.89
1918-10-01,68.60
1918-11-01,70.32
1918-12-01,67.51
1919-01-01,65.84
1919-02-01,65.86
1919-03-01,66.54
1919-04-01,66.77
1919-05-01,70.41
1919-06-01,70.55
1919-07-01,70.26
1919-08-01,65.77
1919-09-01,64.52
1919-10-01,65.26
1919-11-01,63.18
1919-12-01,60.42
1920-01-01,60.59
1920-02-01,58.14
1920-03-01,61.64
1920-04-01,59.44
1920-05-01,57.29
1920-06-01,56.80
1920-07-01,57.58
1920-08-01,59.50
1920-09-01,63.09
1920-10-01,65.89
1920-11-01,64.00
1920-12-01,58.11
1921-01-01,59.77
1921-02-01,59.02
1921-03-01,56.25
1921-04-01,55.17
1921-05-01,57.43
1921-06-01,53.97
1921-07-01,56.25
1921-08-01,57.23
1921-09-01,57.86
1921-10-01,56.93
1921-11-01,58.54
1921-12-01,58.62
1922-01-01,58.36
1922-02-01,60.35
1922-03-01,62.65
1922-04-01,65.80
1922-05-01,67.11
1922-06-01,66.44
1922-07-01,68.99
1922-08-01,72.30
1922-09-01,73.30
1922-10-01,73.21
1922-11-01,69.24
1922-12-01,67.62
1923-01-01,67.56
1923-02-01,69.72
1923-03-01,70.04
1923-04-01,68.98
1923-05-01,66.47
1923-06-01,65.85
1923-07-01,63.24
1923-08-01,62.89
1923-09-01,63.17
1923-10-01,62.66
1923-11-01,63.62
1923-12-01,63.58
1924-01-01,64.52
1924-02-01,65.06
1924-03-01,64.60
1924-04-01,65.46
1924-05-01,65.58
1924-06-01,67.42
1924-07-01,70.71
1924-08-01,72.53
1924-09-01,72.03
1924-10-01,71.27
1924-11-01,76.15
1924-12-01,80.10
1925-01-01,80.79
1925-02-01,80.93
1925-03-01,78.63
1925-04-01,76.46
1925-05-01,78.49
1925-06-01,78.89
1925-07-01,79.68
1925-08-01,82.32
1925-09-01,83.17
1925-10-01,84.34
1925-11-01,86.78
1925-12-01,90.59
1926-01-01,90.66
1926-02-01,89.09
1926-03-01,85.33
1926-04-01,85.84
1926-05-01,86.75
1926-06-01,90.29
1926-07-01,92.09
1926-08-01,94.67
1926-09-01,97.49
1926-10-01,94.54
1926-11-01,95.24
1926-12-01,97.05
1927-01-01,98.36
1927-02-01,102.61
1927-03-01,103.69
1927-04-01,106.14
1927-05-01,108.47
1927-06-01,110.22
1927-07-01,112.10
1927-08-01,113.47
1927-09-01,115.39
1927-10-01,115.15
1927-11-01,114.23
1927-12-01,116.58
1928-01-01,114.79
1928-02-01,111.84
1928-03-01,115.66
1928-04-01,120.49
1928-05-01,122.41
1928-06-01,116.52
1928-07-01,114.85
1928-08-01,116.57
1928-09-01,119.60
1928-10-01,118.42
1928-11-01,124.37
1928-12-01,124.91
1929-01-01,130.53
1929-02-01,128.95
1929-03-01,128.54
1929-04-01,126.90
1929-05-01,128.40
1929-06-01,133.56
1929-07-01,146.61
1929-08-01,152.76
1929-09-01,154.42
1929-10-01,135.68
1929-11-01,122.20
1929-12-01,125.02
1930-01-01,124.18
1930-02-01,130.53
1930-03-01,131.34
1930-04-01,128.76
1930-05-01,122.54
1930-06-01,115.09
1930-07-01,115.01
1930-08-01,111.95
1930-09-01,109.98
1930-10-01,101.77
1930-11-01,93.31
1930-12-01,85.38
1931-01-01,90.69
1931-02-01,96.12
1931-03-01,89.89
1931-04-01,79.92
1931-05-01,70.56
1931-06-01,67.78
1931-07-01,69.26
1931-08-01,61.25
1931-09-01,51.47
1931-10-01,45.18
1931-11-01,41.08
1931-12-01,31.78
1932-01-01,32.01
1932-02-01,31.86
1932-03-01,29.44
1932-04-01,21.27
1932-05-01,15.57
1932-06-01,13.46
1932-07-01,15.87
1932-08-01,25.67
1932-09-01,31.23
1932-10-01,26.16
1932-11-01,24.37
1932-12-01,23.26
1933-01-01,25.14
1933-02-01,23.81
1933-03-01,23.75
1933-04-01,25.46
1933-05-01,34.64
1933-06-01,40.36
1933-07-01,45.93
1933-08-01,45.56
1933-09-01,42.99
1933-10-01,35.50
1933-11-01,35.40
1933-12-01,37.34
1934-01-01,41.68
1934-02-01,46.05
1934-03-01,44.37
1934-04-01,44.87
1934-05-01,40.31
1934-06-01,40.32
1934-07-01,35.93
1934-08-01,32.82
1934-09-01,32.08
1934-10-01,32.95
1934-11-01,32.53
1934-12-01,33.47
1935-01-01,32.39
1935-02-01,30.55
1935-03-01,26.73
1935-04-01,27.54
1935-05-01,29.05
1935-06-01,30.10
1935-07-01,31.71
1935-08-01,33.52
1935-09-01,34.10
1935-10-01,32.00
1935-11-01,35.61
1935-12-01,38.36
1936-01-01,41.38
1936-02-01,46.59
1936-03-01,45.55
1936-04-01,43.51
1936-05-01,42.08
1936-06-01,44.26
1936-07-01,47.52
1936-08-01,50.10
1936-09-01,51.37
1936-10-01,54.06
1936-11-01,53.06
1936-12-01,50.31
1937-01-01,51.44
